Time,Centering Input,Distance Input,Centering Output,Distance Output
7.22865891456604,-8,0,84,-25150
7.752325534820557,-8,0,87,-25300
8.158272981643677,-9,0,96,-24335
8.570676326751709,-9,0,96,-24414
8.994400262832642,-9,0,94,-24445
9.405580282211304,-8,0,87,-25300
9.825634479522705,-7,0,72,-25350
10.255359649658203,-6,0,67,-25536
10.676481485366821,-6,0,69,-25488
11.075546264648438,-7,0,70,-25584
11.475548267364502,-7,0,79,-24748
11.889233589172363,-8,0,80,-25060
12.309148788452148,-7,0,70,-25488
12.714812278747559,-4,0,48,-24762
13.117271900177002,-3,0,39,-25443
13.518897771835327,-3,0,38,-25300
13.930683851242065,-3,0,37,-25400
14.349740743637085,-3,0,33,-25441
14.770888090133667,-3,0,32,-25150
15.166840553283691,-3,0,32,-24859
15.573967456817627,-3,0,32,-25770
15.978036403656006,-3,0,34,-26064
16.37801241874695,-3,0,36,-26287
16.789506912231445,-4,0,40,-26276
17.206531763076782,-4,0,43,-26504
17.613735914230347,-4,0,45,-26334
18.0225350856781,-4,0,45,-26412
18.434799432754517,-4,0,48,-26240
18.849542379379272,-5,0,52,-25684
19.268778085708618,-5,0,52,-25601
19.671263933181763,-2,0,25,-25996
20.092519283294678,0,0,-5,-26412
20.500499486923218,2,0,-25,-26050
20.915938138961792,4,0,-42,-26208
21.325920343399048,4,0,-45,-26208
21.737328052520752,4,0,-44,-25900
22.149996757507324,4,0,-47,-26366
22.575121879577637,4,0,-42,-26129
22.989043712615967,4,0,-41,-26178
23.431145429611206,3,0,-37,-26287
23.86414337158203,3,0,-37,-26366
24.301645755767822,8,0,-80,-25105
24.740103483200073,11,0,-112,-25563
25.17244601249695,11,0,-112,-24471
25.609987497329712,14,0,-142,-25541
26.055679082870483,14,0,-140,-26381
26.48062753677368,13,0,-139,-26504
26.918030738830566,10,0,-105,-26760
27.363428831100464,9,0,-91,-26904
27.810781002044678,9,0,-92,-26700
28.25230360031128,7,0,-75,-26700
28.69726848602295,7,0,-72,-27048
29.136501789093018,7,0,-70,-26934
29.571170568466187,7,0,-74,-27040
30.03017020225525,7,0,-76,-26976
30.49410843849182,7,0,-76,-27060
30.952369213104248,6,0,-67,-27080
31.394956827163696,5,0,-54,-26966
31.851939916610718,5,0,-56,-27040
32.29995679855347,4,0,-49,-26934
32.754716873168945,3,0,-32,-27120
33.22806739807129,1,0,-12,-27007
33.70233869552612,0,0,6,-27270
34.173561573028564,-2,0,23,-27188
34.65790629386902,-4,0,45,-27130
35.130067348480225,-5,0,54,-27120
35.591384410858154,-5,0,53,-27060
